user_id,top_ordered_item,avg_cart_item_count,preferred_category,order_party_type,user_region,restaurant_cuisine_type,restaurant_item_popularity,cart_total_value,cart_item_count,cart_cuisine_type,meal_time_segment,day_of_week_type,occasion_type,seasonal_preference,user_item_affinity,item_cooccurrence_score,user_category_affinity,item_price_tier,dietary_type,label_addon_added
193,Garlic Bread,2,Fast_Food,solo,Navi_Mumbai,Desserts,0.174,370,2,Fast_Food,lunch,weekday,none,summer,0.174,3,0.667,low,veg,1
131,Ice Cream,1,Desserts,solo,Noida,Desserts,0.3,291,1,Desserts,snacks,weekend,festival,summer,0.372,12,0.364,high,nonveg,1
193,Pizza,2,Fast_Food,solo,Navi_Mumbai,North_Indian,0.626,354,2,Fast_Food,breakfast,weekday,festival,monsoon,0.378,11,0.541,low,nonveg,0
89,Roti,2,North_Indian,solo,West_Delhi,North_Indian,0.471,338,1,North_Indian,dinner,weekday,none,monsoon,0.281,0,0.383,low,veg,0
107,Kheer,3,Desserts,group,West_Delhi,Beverages,0.278,349,2,Desserts,dinner,weekday,none,monsoon,0.505,1,0.35,low,veg,0
80,Lassi,3,Beverages,group,Navi_Mumbai,Fast_Food,0.024,335,2,Beverages,lunch,weekday,festival,winter,0.378,7,0.661,medium,veg,0
133,Hakka Noodles,1,Chinese,solo,Gurgaon,Beverages,0.484,519,3,Chinese,lunch,weekend,none,winter,0.546,8,0.213,low,veg,1
76,Tea,3,Beverages,group,Gurgaon,Fast_Food,0.128,370,2,Beverages,lunch,weekday,none,monsoon,0.406,1,0.61,low,nonveg,0
15,Hakka Noodles,1,Chinese,solo,Noida,Beverages,0.716,269,1,Chinese,dinner,weekday,none,winter,0.185,15,0.789,low,veg,1
179,Spring Roll,1,Chinese,solo,Navi_Mumbai,Fast_Food,0.191,490,4,Chinese,lunch,weekday,none,monsoon,0.463,4,0.18,low,veg,0
30,Roti,2,North_Indian,solo,West_Delhi,Fast_Food,0.161,371,1,North_Indian,dinner,weekday,none,winter,0.466,1,0.072,medium,veg,0
68,Brownie,1,Desserts,solo,Gurgaon,Desserts,0.069,629,4,Desserts,dinner,weekday,festival,summer,0.249,0,0.558,high,veg,0
122,Lassi,1,Beverages,solo,Noida,South_Indian,0.299,471,2,Beverages,dinner,weekday,none,monsoon,0.199,0,0.188,low,veg,0
161,Milkshake,2,Beverages,solo,West_Delhi,Beverages,0.312,434,2,Beverages,snacks,weekend,none,monsoon,0.615,2,0.15,low,dairy,0
158,Rasgulla,1,Desserts,solo,South_Delhi,Desserts,0.282,262,1,Desserts,snacks,weekday,none,monsoon,0.201,1,0.321,low,veg,0
57,Vada,1,South_Indian,solo,Navi_Mumbai,South_Indian,0.091,495,3,South_Indian,lunch,weekday,none,monsoon,0.167,1,0.663,low,dairy,0
8,Hakka Noodles,2,Chinese,solo,West_Delhi,Fast_Food,0.256,423,3,Chinese,lunch,weekday,none,winter,0.153,1,0.792,medium,dairy,1
174,Idli,2,South_Indian,solo,Gurgaon,South_Indian,0.095,303,1,South_Indian,snacks,weekend,none,monsoon,0.661,1,0.587,low,veg,0
31,Garlic Bread,1,Fast_Food,solo,South_Delhi,Beverages,0.332,298,1,Fast_Food,dinner,weekend,none,winter,0.521,9,0.737,medium,veg,1
1,Roti,4,North_Indian,group,Gurgaon,South_Indian,0.375,611,4,North_Indian,dinner,weekday,none,winter,0.191,5,0.609,low,veg,1
116,Fried Rice,3,Chinese,group,Navi_Mumbai,Desserts,0.517,298,1,Chinese,lunch,weekend,none,winter,0.512,0,0.343,high,veg,1
131,Rasgulla,1,Desserts,solo,Noida,Beverages,0.055,311,1,Desserts,dinner,weekend,birthday,summer,0.244,0,0.372,low,dairy,0
181,Pizza,1,Fast_Food,solo,South_Delhi,Desserts,0.112,558,4,Fast_Food,breakfast,weekday,none,monsoon,0.516,1,0.57,low,veg,0
81,Kheer,2,Desserts,solo,West_Delhi,Fast_Food,0.201,570,4,Desserts,snacks,weekend,none,summer,0.211,2,0.462,low,dairy,0
101,Idli,2,South_Indian,solo,Gurgaon,Beverages,0.076,346,1,South_Indian,dinner,weekend,none,winter,0.066,0,0.302,high,veg,1
147,Lassi,2,Beverages,solo,Navi_Mumbai,Chinese,0.139,551,4,Beverages,dinner,weekend,none,summer,0.076,0,0.732,low,veg,1
24,Gulab Jamun,2,Desserts,solo,South_Delhi,North_Indian,0.204,447,3,Desserts,dinner,weekday,none,summer,0.178,4,0.658,medium,dairy,1
113,Roti,3,North_Indian,group,Navi_Mumbai,Desserts,0.402,372,2,North_Indian,dinner,weekday,birthday,summer,0.41,0,0.75,medium,veg,1
135,Roti,1,North_Indian,solo,Noida,South_Indian,0.298,491,3,North_Indian,lunch,weekday,none,monsoon,0.584,8,0.746,high,veg,1
119,Spring Roll,2,Chinese,solo,Noida,Chinese,0.167,278,1,Chinese,breakfast,weekday,none,monsoon,0.288,0,0.395,medium,egg,0
2,Manchurian,2,Chinese,solo,West_Delhi,South_Indian,0.68,459,3,Chinese,dinner,weekday,none,winter,0.349,2,0.649,high,veg,1
81,Rasgulla,2,Desserts,solo,West_Delhi,Chinese,0.287,344,1,Desserts,lunch,weekday,none,monsoon,0.333,1,0.073,low,veg,0
3,Hakka Noodles,2,Chinese,solo,South_Delhi,North_Indian,0.245,311,1,Chinese,snacks,weekday,none,winter,0.387,8,0.487,low,egg,1
193,Fries,2,Fast_Food,solo,Navi_Mumbai,Chinese,0.535,427,2,Fast_Food,snacks,weekday,birthday,monsoon,0.495,8,0.418,medium,nonveg,1
13,Upma,1,South_Indian,solo,Navi_Mumbai,South_Indian,0.572,419,2,South_Indian,dinner,weekday,none,summer,0.4,0,0.829,low,nonveg,0
127,Biryani,3,North_Indian,group,Noida,Chinese,0.188,499,3,North_Indian,lunch,weekday,none,summer,0.486,5,0.707,medium,veg,1
140,Sambar,4,South_Indian,group,Noida,Chinese,0.26,477,3,South_Indian,lunch,weekday,none,winter,0.663,1,0.194,high,veg,0
171,Spring Roll,1,Chinese,solo,Gurgaon,Desserts,0.173,315,1,Chinese,lunch,weekend,none,monsoon,0.383,2,0.589,low,veg,1
174,Vada,2,South_Indian,solo,Gurgaon,South_Indian,0.231,425,1,South_Indian,lunch,weekday,none,monsoon,0.363,4,0.48,low,veg,1
84,Kheer,1,Desserts,solo,South_Delhi,South_Indian,0.342,507,3,Desserts,lunch,weekday,festival,monsoon,0.096,3,0.525,low,nonveg,1
82,Manchurian,1,Chinese,solo,Gurgaon,Chinese,0.537,433,2,Chinese,snacks,weekday,none,monsoon,0.257,0,0.726,medium,nonveg,0
10,Roti,1,North_Indian,solo,Navi_Mumbai,South_Indian,0.129,448,3,North_Indian,dinner,weekend,festival,winter,0.328,2,0.345,medium,nonveg,0
105,Paneer Tikka,1,North_Indian,solo,Gurgaon,Beverages,0.104,264,1,North_Indian,lunch,weekend,none,winter,0.105,1,0.685,medium,veg,0
67,Kheer,3,Desserts,group,Noida,South_Indian,0.284,384,2,Desserts,lunch,weekday,none,monsoon,0.615,1,0.33,medium,veg,0
10,Paneer Tikka,1,North_Indian,solo,Navi_Mumbai,Fast_Food,0.544,486,3,North_Indian,lunch,weekend,none,winter,0.166,0,0.34,low,nonveg,0
183,Burger,3,Fast_Food,group,West_Delhi,Beverages,0.572,413,2,Fast_Food,lunch,weekend,none,winter,0.182,1,0.563,low,veg,1
153,Paneer Tikka,2,North_Indian,solo,Gurgaon,Fast_Food,0.312,399,2,North_Indian,snacks,weekend,none,winter,0.368,3,0.74,high,veg,0
15,Chilli Paneer,1,Chinese,solo,Noida,Desserts,0.664,419,2,Chinese,lunch,weekday,birthday,summer,0.071,0,0.531,medium,nonveg,0
161,Lassi,2,Beverages,solo,West_Delhi,Chinese,0.243,578,3,Beverages,dinner,weekday,none,summer,0.126,2,0.746,low,veg,0
108,Ice Cream,1,Desserts,solo,West_Delhi,Beverages,0.154,338,1,Desserts,dinner,weekend,none,summer,0.445,3,0.562,low,veg,0
158,Rasgulla,1,Desserts,solo,South_Delhi,North_Indian,0.185,327,1,Desserts,dinner,weekend,none,winter,0.447,0,0.646,medium,nonveg,1
138,Roti,1,North_Indian,solo,South_Delhi,Fast_Food,0.272,347,2,North_Indian,lunch,weekend,none,monsoon,0.486,3,0.585,low,veg,0
28,Sandwich,2,Fast_Food,solo,Navi_Mumbai,South_Indian,0.336,397,2,Fast_Food,dinner,weekend,none,summer,0.407,1,0.243,medium,nonveg,1
178,Paneer Tikka,3,North_Indian,group,Navi_Mumbai,South_Indian,0.291,515,3,North_Indian,lunch,weekday,none,winter,0.257,12,0.074,medium,veg,1
108,Kheer,1,Desserts,solo,West_Delhi,Beverages,0.537,423,2,Desserts,lunch,weekday,none,summer,0.148,0,0.571,medium,veg,1
9,Kheer,2,Desserts,solo,Navi_Mumbai,South_Indian,0.31,492,2,Desserts,breakfast,weekend,none,winter,0.409,12,0.729,high,nonveg,0
123,Burger,1,Fast_Food,solo,Noida,Fast_Food,0.451,408,2,Fast_Food,snacks,weekday,none,winter,0.49,2,0.568,low,veg,0
166,Roti,1,North_Indian,solo,Noida,South_Indian,0.23,329,1,North_Indian,breakfast,weekend,none,monsoon,0.369,1,0.286,medium,dairy,0
126,Tea,3,Beverages,group,South_Delhi,Desserts,0.105,369,2,Beverages,lunch,weekday,none,summer,0.491,6,0.732,low,veg,1
119,Manchurian,2,Chinese,solo,Noida,Chinese,0.292,615,4,Chinese,breakfast,weekday,none,winter,0.359,6,0.509,high,veg,0
10,Roti,1,North_Indian,solo,Navi_Mumbai,South_Indian,0.161,350,1,North_Indian,breakfast,weekend,birthday,summer,0.096,6,0.59,high,veg,1
42,Sambar,1,South_Indian,solo,Gurgaon,Fast_Food,0.091,450,2,South_Indian,snacks,weekday,none,monsoon,0.138,0,0.356,medium,nonveg,0
127,Raita,3,North_Indian,group,Noida,South_Indian,0.393,346,2,North_Indian,snacks,weekday,birthday,monsoon,0.631,4,0.601,low,nonveg,0
148,Lassi,1,Beverages,solo,Noida,South_Indian,0.108,366,2,Beverages,snacks,weekend,none,summer,0.667,2,0.347,medium,nonveg,0
161,Tea,2,Beverages,solo,West_Delhi,Desserts,0.297,542,4,Beverages,breakfast,weekday,festival,summer,0.355,1,0.277,low,nonveg,0
104,Manchurian,3,Chinese,group,West_Delhi,Desserts,0.335,369,1,Chinese,dinner,weekday,none,monsoon,0.054,0,0.194,high,veg,1
53,Hakka Noodles,3,Chinese,group,West_Delhi,North_Indian,0.485,317,1,Chinese,breakfast,weekday,none,monsoon,0.273,0,0.361,medium,nonveg,0
114,Manchurian,2,Chinese,solo,Gurgaon,Chinese,0.32,430,2,Chinese,breakfast,weekend,none,winter,0.204,1,0.645,medium,veg,1
12,Idli,3,South_Indian,group,West_Delhi,North_Indian,0.443,552,4,South_Indian,dinner,weekday,none,winter,0.247,1,0.864,high,veg,1
186,Ice Cream,3,Desserts,group,Navi_Mumbai,Fast_Food,0.361,428,2,Desserts,dinner,weekend,none,summer,0.471,6,0.216,medium,veg,0
24,Ice Cream,2,Desserts,solo,South_Delhi,Fast_Food,0.322,334,1,Desserts,snacks,weekday,birthday,winter,0.135,0,0.583,high,nonveg,1
155,Ice Cream,1,Desserts,solo,Noida,Fast_Food,0.541,347,1,Desserts,snacks,weekday,none,winter,0.262,2,0.421,medium,nonveg,0
155,Brownie,1,Desserts,solo,Noida,North_Indian,0.282,434,3,Desserts,lunch,weekday,none,winter,0.659,0,0.455,medium,veg,0
198,Butter Chicken,3,North_Indian,group,Noida,Beverages,0.129,320,2,North_Indian,dinner,weekday,none,monsoon,0.184,1,0.609,low,veg,1
40,Gulab Jamun,1,Desserts,solo,West_Delhi,Fast_Food,0.272,506,3,Desserts,dinner,weekday,festival,summer,0.258,2,0.627,low,nonveg,0
55,Gulab Jamun,3,Desserts,group,Gurgaon,Beverages,0.109,390,2,Desserts,breakfast,weekend,anniversary,summer,0.6,0,0.101,medium,nonveg,0
14,Burger,1,Fast_Food,solo,South_Delhi,Chinese,0.44,395,1,Fast_Food,breakfast,weekday,festival,summer,0.169,1,0.575,high,dairy,0
178,Butter Chicken,3,North_Indian,group,Navi_Mumbai,Desserts,0.273,437,2,North_Indian,snacks,weekend,none,summer,0.104,13,0.858,medium,veg,1
61,Paneer Tikka,1,North_Indian,solo,South_Delhi,Chinese,0.111,298,1,North_Indian,lunch,weekday,birthday,winter,0.186,3,0.229,low,veg,0
150,Burger,3,Fast_Food,group,West_Delhi,Desserts,0.217,450,3,Fast_Food,snacks,weekend,none,summer,0.443,5,0.633,medium,veg,0
33,Sambar,3,South_Indian,group,Gurgaon,Beverages,0.412,268,1,South_Indian,dinner,weekday,none,winter,0.683,0,0.504,low,veg,0
22,Pizza,1,Fast_Food,solo,South_Delhi,Chinese,0.439,309,1,Fast_Food,lunch,weekend,none,monsoon,0.521,0,0.803,high,veg,0
122,Tea,1,Beverages,solo,Noida,Beverages,0.191,520,3,Beverages,breakfast,weekend,none,monsoon,0.186,0,0.947,low,egg,0
187,Butter Chicken,2,North_Indian,solo,Navi_Mumbai,Chinese,0.121,251,1,North_Indian,lunch,weekend,none,winter,0.603,1,0.431,low,dairy,0
122,Coke,1,Beverages,solo,Noida,Desserts,0.365,459,3,Beverages,dinner,weekend,none,summer,0.121,0,0.169,low,veg,0
21,Pizza,1,Fast_Food,solo,Navi_Mumbai,Desserts,0.278,422,2,Fast_Food,lunch,weekend,none,monsoon,0.062,4,0.597,medium,veg,0
21,Sandwich,1,Fast_Food,solo,Navi_Mumbai,South_Indian,0.526,426,2,Fast_Food,breakfast,weekday,none,monsoon,0.112,0,0.56,low,dairy,0
143,Fried Rice,1,Chinese,solo,Noida,North_Indian,0.163,408,2,Chinese,lunch,weekday,birthday,monsoon,0.531,3,0.659,low,veg,0
91,Raita,2,North_Indian,solo,Noida,Beverages,0.516,495,4,North_Indian,snacks,weekend,none,summer,0.227,4,0.545,medium,nonveg,0
88,Burger,3,Fast_Food,group,West_Delhi,Beverages,0.294,434,3,Fast_Food,breakfast,weekend,none,winter,0.371,0,0.153,low,veg,0
184,Upma,1,South_Indian,solo,Navi_Mumbai,North_Indian,0.422,357,2,South_Indian,snacks,weekday,none,monsoon,0.86,1,0.498,medium,veg,0
106,Butter Chicken,2,North_Indian,solo,Navi_Mumbai,Fast_Food,0.285,436,2,North_Indian,lunch,weekend,none,monsoon,0.368,0,0.581,high,nonveg,0
61,Roti,1,North_Indian,solo,South_Delhi,Beverages,0.244,412,2,North_Indian,snacks,weekday,none,winter,0.52,2,0.675,low,nonveg,0
70,Coke,3,Beverages,group,South_Delhi,Desserts,0.077,374,1,Beverages,dinner,weekday,none,monsoon,0.353,1,0.515,low,dairy,0
16,Pizza,1,Fast_Food,solo,Gurgaon,North_Indian,0.254,501,2,Fast_Food,lunch,weekday,none,winter,0.539,3,0.515,high,veg,0
190,Roti,1,North_Indian,solo,South_Delhi,North_Indian,0.202,336,1,North_Indian,lunch,weekday,none,winter,0.226,8,0.451,medium,veg,0
37,Cold Coffee,1,Beverages,solo,Gurgaon,Beverages,0.203,363,2,Beverages,snacks,weekday,none,winter,0.102,2,0.605,medium,dairy,1
176,Idli,2,South_Indian,solo,Navi_Mumbai,South_Indian,0.866,468,3,South_Indian,lunch,weekend,none,summer,0.239,0,0.339,medium,veg,0
44,Spring Roll,1,Chinese,solo,Gurgaon,Beverages,0.363,349,1,Chinese,lunch,weekday,none,winter,0.231,2,0.507,medium,veg,0
95,Kheer,2,Desserts,solo,West_Delhi,Desserts,0.043,409,3,Desserts,lunch,weekday,none,winter,0.096,1,0.314,high,veg,0
7,Roti,3,North_Indian,group,South_Delhi,South_Indian,0.711,404,2,North_Indian,lunch,weekday,none,monsoon,0.309,9,0.626,medium,veg,1
36,Garlic Bread,1,Fast_Food,solo,West_Delhi,Fast_Food,0.472,523,3,Fast_Food,breakfast,weekday,none,winter,0.149,1,0.51,medium,dairy,0
122,Lassi,1,Beverages,solo,Noida,North_Indian,0.339,514,4,Beverages,lunch,weekday,none,winter,0.091,4,0.286,medium,veg,0
155,Ice Cream,1,Desserts,solo,Noida,Chinese,0.26,586,4,Desserts,lunch,weekday,none,winter,0.437,3,0.33,low,egg,0
180,Garlic Bread,1,Fast_Food,solo,West_Delhi,Desserts,0.302,304,1,Fast_Food,snacks,weekend,none,monsoon,0.335,4,0.624,medium,veg,1
128,Milkshake,1,Beverages,solo,Gurgaon,Fast_Food,0.194,410,2,Beverages,snacks,weekend,none,summer,0.278,4,0.26,low,nonveg,1
2,Manchurian,2,Chinese,solo,West_Delhi,Fast_Food,0.054,401,2,Chinese,lunch,weekday,festival,summer,0.546,0,0.438,high,veg,0
80,Milkshake,3,Beverages,group,Navi_Mumbai,Chinese,0.318,511,3,Beverages,dinner,weekend,none,winter,0.235,3,0.395,low,veg,0
5,Dal Makhani,1,North_Indian,solo,Navi_Mumbai,Fast_Food,0.08,438,2,North_Indian,dinner,weekday,festival,winter,0.128,1,0.518,low,nonveg,1
184,Upma,1,South_Indian,solo,Navi_Mumbai,Beverages,0.193,441,3,South_Indian,lunch,weekday,none,winter,0.436,0,0.69,high,veg,0
140,Upma,4,South_Indian,group,Noida,North_Indian,0.451,354,1,South_Indian,dinner,weekday,none,monsoon,0.303,2,0.504,low,nonveg,0
28,Fries,2,Fast_Food,solo,Navi_Mumbai,North_Indian,0.463,298,1,Fast_Food,dinner,weekday,none,summer,0.419,1,0.617,low,veg,0
27,Milkshake,2,Beverages,solo,Navi_Mumbai,South_Indian,0.252,428,3,Beverages,dinner,weekday,none,monsoon,0.039,6,0.902,high,dairy,1
168,Rasgulla,1,Desserts,solo,Navi_Mumbai,Beverages,0.197,510,3,Desserts,snacks,weekday,none,winter,0.408,7,0.815,low,veg,0
73,Raita,3,North_Indian,group,Gurgaon,Beverages,0.279,404,2,North_Indian,lunch,weekday,none,winter,0.123,2,0.301,medium,nonveg,0
53,Manchurian,3,Chinese,group,West_Delhi,North_Indian,0.105,501,3,Chinese,lunch,weekday,none,summer,0.361,0,0.691,medium,nonveg,0
46,Dal Makhani,1,North_Indian,solo,Gurgaon,Chinese,0.542,339,2,North_Indian,snacks,weekday,none,winter,0.416,1,0.608,low,veg,0
17,Fried Rice,2,Chinese,solo,West_Delhi,Fast_Food,0.32,449,2,Chinese,lunch,weekday,festival,monsoon,0.246,0,0.541,medium,nonveg,0
81,Kheer,2,Desserts,solo,West_Delhi,Fast_Food,0.369,455,2,Desserts,lunch,weekend,none,winter,0.612,2,0.303,low,veg,1
42,Upma,1,South_Indian,solo,Gurgaon,Desserts,0.434,373,1,South_Indian,dinner,weekday,festival,winter,0.427,0,0.758,low,dairy,1
102,Sambar,1,South_Indian,solo,Navi_Mumbai,Beverages,0.416,456,2,South_Indian,dinner,weekday,none,monsoon,0.53,0,0.537,low,veg,0
8,Chilli Paneer,2,Chinese,solo,West_Delhi,Fast_Food,0.347,495,3,Chinese,dinner,weekend,none,monsoon,0.209,4,0.678,low,veg,1
15,Manchurian,1,Chinese,solo,Noida,Fast_Food,0.789,431,2,Chinese,dinner,weekend,birthday,winter,0.319,2,0.568,medium,veg,0
87,Dal Makhani,2,North_Indian,solo,Gurgaon,Chinese,0.354,603,4,North_Indian,snacks,weekday,none,summer,0.381,0,0.167,medium,nonveg,0
56,Lassi,1,Beverages,solo,Navi_Mumbai,Fast_Food,0.116,491,3,Beverages,dinner,weekday,none,summer,0.343,1,0.298,high,nonveg,0
192,Spring Roll,3,Chinese,group,Gurgaon,Beverages,0.091,326,2,Chinese,lunch,weekday,none,summer,0.385,1,0.633,medium,nonveg,0
13,Idli,1,South_Indian,solo,Navi_Mumbai,Chinese,0.421,368,1,South_Indian,breakfast,weekday,none,monsoon,0.297,3,0.438,low,dairy,0
197,Sandwich,3,Fast_Food,group,South_Delhi,Fast_Food,0.544,376,1,Fast_Food,snacks,weekday,none,monsoon,0.249,0,0.285,low,veg,0
162,Upma,2,South_Indian,solo,South_Delhi,Desserts,0.202,444,2,South_Indian,dinner,weekday,none,monsoon,0.299,1,0.737,medium,veg,0
66,Vada,1,South_Indian,solo,Noida,North_Indian,0.184,358,2,South_Indian,snacks,weekend,none,summer,0.364,1,0.693,low,nonveg,1
87,Dal Makhani,2,North_Indian,solo,Gurgaon,Chinese,0.512,288,1,North_Indian,snacks,weekday,none,winter,0.374,5,0.53,low,veg,0
175,Paneer Tikka,1,North_Indian,solo,South_Delhi,Fast_Food,0.107,454,3,North_Indian,breakfast,weekday,anniversary,summer,0.407,0,0.41,low,veg,0
130,Spring Roll,2,Chinese,solo,West_Delhi,Chinese,0.326,454,2,Chinese,lunch,weekday,none,winter,0.416,0,0.546,medium,veg,0
190,Butter Chicken,1,North_Indian,solo,South_Delhi,North_Indian,0.336,358,1,North_Indian,snacks,weekday,none,monsoon,0.566,1,0.576,low,veg,1
93,Chilli Paneer,2,Chinese,solo,West_Delhi,Beverages,0.463,508,3,Chinese,dinner,weekend,festival,summer,0.677,0,0.333,medium,dairy,1
97,Ice Cream,2,Desserts,solo,Noida,North_Indian,0.189,458,3,Desserts,dinner,weekday,none,summer,0.629,4,0.79,high,nonveg,0
99,Tea,1,Beverages,solo,West_Delhi,Fast_Food,0.044,285,1,Beverages,lunch,weekday,none,winter,0.342,6,0.377,medium,veg,0
19,Roti,1,North_Indian,solo,Noida,South_Indian,0.254,525,3,North_Indian,snacks,weekday,festival,winter,0.578,0,0.358,low,veg,0
59,Fried Rice,1,Chinese,solo,West_Delhi,North_Indian,0.354,313,1,Chinese,dinner,weekday,none,winter,0.267,0,0.602,low,dairy,0
80,Milkshake,3,Beverages,group,Navi_Mumbai,North_Indian,0.274,315,1,Beverages,breakfast,weekday,none,summer,0.239,1,0.15,low,dairy,0
77,Ice Cream,1,Desserts,solo,West_Delhi,South_Indian,0.167,557,4,Desserts,lunch,weekday,festival,summer,0.497,1,0.275,low,dairy,0
140,Upma,4,South_Indian,group,Noida,Beverages,0.154,460,2,South_Indian,dinner,weekday,none,monsoon,0.352,5,0.717,medium,dairy,1
163,Gulab Jamun,2,Desserts,solo,West_Delhi,Chinese,0.636,345,1,Desserts,snacks,weekday,none,summer,0.124,10,0.462,low,veg,0
51,Upma,3,South_Indian,group,Noida,Fast_Food,0.147,318,1,South_Indian,lunch,weekend,none,summer,0.303,2,0.41,high,veg,0
196,Rasgulla,2,Desserts,solo,Noida,North_Indian,0.657,472,3,Desserts,snacks,weekend,none,monsoon,0.269,0,0.538,high,veg,1
101,Sambar,2,South_Indian,solo,Gurgaon,Desserts,0.138,346,1,South_Indian,dinner,weekday,none,monsoon,0.357,1,0.827,medium,nonveg,0
42,Upma,1,South_Indian,solo,Gurgaon,Chinese,0.307,492,2,South_Indian,dinner,weekday,none,monsoon,0.359,6,0.676,low,dairy,1
